numero;nombre;es_inter
1;'1:2';0
2;'2:3';0
3;'3:16';0
4;'4:5';0
5;'5:6';0
6;'6:15';0
7;'7:9';0
8;'9:8';0
9;'8:14';0
10;'10:11';0
11;'11:12';0
12;'12:13';0
13;'18:19';1
14;'19:26';0
15;'19:25';1
16;'20:19';1
17;'22:25';1
18;'23:20';0
19;'24:27';0
20;'25:19';1
21;'25:22';0
22;'26:21';0
23;'27:18';0
24;'28:29';0
25;'29:30';0
26;'30:31';0
27;'2:1';0
28;'3:2';0
29;'5:4';0
30;'6:5';0
31;'9:7';0
32;'8:9';0
33;'11:10';0
34;'12:11';0
35;'13:12';0
36;'14:8';0
37;'15:6';0
38;'16:3';0
39;'18:27';0
40;'19:18';0
41;'19:20';0
42;'20:23';0
43;'21:26';0
44;'26:19';1
45;'27:24';0
46;'29:28';0
47;'30:29';0
48;'31:30';0
